date,value
1975-01-01,161.086694022079
1976-01-01,164.119999587322
1977-01-01,189.585568552477
1978-01-01,209.389063573463
1979-01-01,227.958179873426
1980-01-01,271.080945953678
1981-01-01,274.964330768528
1982-01-01,278.65038258267
1983-01-01,295.999773299382
1984-01-01,281.049867840717
1985-01-01,300.928258576378
1986-01-01,314.897116402542
1987-01-01,344.941028293075
1988-01-01,358.484539641693
1989-01-01,349.915155021864
1990-01-01,371.085936203765
1991-01-01,305.574055928592
1992-01-01,319.182472626315
1993-01-01,302.884806246174
1994-01-01,347.73421473994
1995-01-01,375.17600537305
1996-01-01,401.046754673579
1997-01-01,416.228116203753
1998-01-01,413.630864056851
1999-01-01,441.927991436397
2000-01-01,442.750218937263
2001-01-01,450.357900514128
2002-01-01,469.149928973927
2003-01-01,544.143133545002
2004-01-01,624.258826510066
2005-01-01,710.488080408949
2006-01-01,801.668353659022
2007-01-01,1021.88707706826
2008-01-01,992.519584923828
2009-01-01,1094.94974598436
2010-01-01,1347.51939071367
2011-01-01,1445.46127486037
2012-01-01,1429.32199520032
2013-01-01,1432.84397512195
2014-01-01,1553.88396075118
2015-01-01,1583.99815907985
2016-01-01,1707.50892912243
2017-01-01,1950.10468280866
2018-01-01,1966.25455171679
2019-01-01,2041.42863698585
2020-01-01,1907.04251637669
2021-01-01,2239.61384367482
2022-01-01,2347.44829434623
2023-01-01,2530.12031278204
2024-01-01,2696.66389984463
