date,living_value,country,gdp,gdp_per_capita
1975-01-01,8.02310184746566,India,98473832017.3242,161.086694022079
1976-01-01,7.41062245381335,India,102716451979.68,164.119999587322
1977-01-01,8.02625769777357,India,121486641441.309,189.585568552477
1978-01-01,8.22876409284699,India,137302319828.995,209.389063573463
1979-01-01,8.74517527238275,India,152995442497.709,227.958179873426
1980-01-01,9.7374092846992,India,186328579302.068,271.080945953678
1981-01-01,11.0142316437707,India,193491368445.573,274.964330768528
1982-01-01,11.8833363334912,India,200715624830.902,278.65038258267
1983-01-01,13.2936603505448,India,218262146413.158,295.999773299382
1984-01-01,14.3995476077688,India,212157645177.652,281.049867840717
1985-01-01,15.1996475603979,India,232511554840.372,300.928258576378
1986-01-01,16.5265343439129,India,248985994040.59,314.897116402542
1987-01-01,17.9810554239697,India,279033584092.223,344.941028293075
1988-01-01,19.6683027001421,India,296589670895.932,358.484539641693
1989-01-01,21.0596935101847,India,296042052944.66,349.915155021864
1990-01-01,22.9490075793463,India,320979026420.035,371.085936203765
1991-01-01,26.1320914258645,India,270105341879.226,305.574055928592
1992-01-01,29.2124945523449,India,288208070278.013,319.182472626315
1993-01-01,31.0607370914259,India,279295648982.529,302.884806246174
1994-01-01,34.2438214116532,India,327274843459.429,347.73421473994
1995-01-01,37.7452131691141,India,360281909643.489,375.17600537305
1996-01-01,41.1336584557082,India,392896866204.516,401.046754673579
1997-01-01,44.0805774514448,India,415867563592.829,416.228116203753
1998-01-01,49.9128076740881,India,421351317224.941,413.630864056851
1999-01-01,52.2436461392705,India,458821052615.79,441.927991436397
2000-01-01,54.3383216485078,India,468395521654.458,442.750218937263
2001-01-01,56.3919261013738,India,485440139204.171,450.357900514128
2002-01-01,58.815172903837,India,514939140318.756,469.149928973927
2003-01-01,61.0535954523922,India,607700687237.318,544.143133545002
2004-01-01,63.3536380862151,India,709152728830.775,624.258826510066
2005-01-01,66.0438512553292,India,820383763511.445,710.488080408949
2006-01-01,69.8720985315016,India,940259888787.721,801.668353659022
2007-01-01,74.3249644718143,India,1216736438834.96,1021.88707706826
2008-01-01,80.5305542396968,India,1198895139005.92,992.519584923828
2009-01-01,89.2941733775462,India,1341888016994.9,1094.94974598436
2010-01-01,100.0,India,1675615519484.96,1347.51939071367
2011-01-01,108.911793364834,India,1823051829894.55,1445.46127486037
2012-01-01,119.235538897084,India,1827637590410.41,1429.32199520032
2013-01-01,131.18041028234,India,1856721507621.58,1432.84397512195
2014-01-01,139.924446113916,India,2039126479154.52,1553.88396075118
2015-01-01,146.790501522574,India,2103588360044.94,1583.99815907985
2016-01-01,154.054013105394,India,2294796885663.16,1707.50892912243
2017-01-01,159.18119775209,India,2651474262755.45,1950.10468280866
2018-01-01,165.451068899504,India,2702929641648.74,1966.25455171679
2019-01-01,171.621576003377,India,2835606256558.19,2041.42863698585
2020-01-01,182.988822584425,India,2674851578587.27,1907.04251637669
2021-01-01,192.378724699015,India,3167270623260.47,2239.61384367482
2022-01-01,205.266241146235,India,3346107287730.93,2347.44829434623
2023-01-01,216.862025027426,India,3638489096033.86,2530.12031278204
2024-01-01,227.603278134168,India,3912686168582.21,2696.66389984463
